ID;Última Actualización;Razón Social;Calle;Número;ID Comuna;Comuna;ID Región;Región;Horario de Atención;Distribuidor;Distribuidor Logo;Distribuidor Logo SVG;Distribuidor Logo SVG Horizontal;Gasolina 93 $/L;Gasolina 97 $/L;Petróleo Diesel $/L;Gasolina 95 $/L;GLP Vehicular $/m3;GNC $/m3;Latitud;Longitud;Tienda;Farmacia;Mantención;Autoservicio;Pago Efectivo;Cheque;Tarjetas Bancarias;Tarjeta Grandes Tiendas
te1360201;05/02/2021 14:44;PATRICIO ANTONIO GHIARDO GALLARDO;Avenida Los Libertadores;454;13602;El Monte;13;Metropolitana de Santiago;24 horas;Shell;http://api.cne.cl/brands/logo4.jpg;http://api.cne.cl/brands/shell.svg;http://api.cne.cl/brands/shell-horizontal.svg;771;831;539;801;;;-3,36815E+13;-7,09824E+13;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;VERDADERO
co1360301;11/02/2021 7:59;COMERCIAL PUERTO MOTRIL LTDA.-- 76132030-0;Santelices;71;13603;Isla de Maipo;13;Metropolitana de Santiago;24 horas;Copec;http://api.cne.cl/brands/logo5.jpg;http://api.cne.cl/brands/copec.svg;http://api.cne.cl/brands/copec-horizontal.svg;787;842;558;819;;;-3,37559E+13;-7,08972E+13;VERDADERO;FALSO;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;VERDADERO
pb1360301;04/02/2021 13:34;Comercializadora Isla de Maipo SPA;Balmaceda;4981;13603;Isla de Maipo;13;Metropolitana de Santiago;6:00 A 23:59;Del sol combustibles;http://api.cne.cl/brands/logo80.jpg;http://api.cne.cl/brands/del sol combustibles.svg;http://api.cne.cl/brands/del sol combustibles-horizontal.svg;781;836;552;813;;;-337478003;-708727818;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;FALSO
co1360401;04/02/2021 18:22;Comercial y Servicios OLMEGON Ltda.;Camino a Melipilla;1891;13604;Padre Hurtado;13;Metropolitana de Santiago;24 horas;Copec;http://api.cne.cl/brands/logo5.jpg;http://api.cne.cl/brands/copec.svg;http://api.cne.cl/brands/copec-horizontal.svg;767;792;535;785;;;-3,35668E+13;-7,08128E+13;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;FALSO
co1360402;05/02/2021 12:12;Comercial y servicios A y M Ltda;Ruta 78 KM.25,5;0;13604;Padre Hurtado;13;Metropolitana de Santiago;24 horas;Copec;http://api.cne.cl/brands/logo5.jpg;http://api.cne.cl/brands/copec.svg;http://api.cne.cl/brands/copec-horizontal.svg;767;792;531;785;;;-3,35844E+13;-7,08335E+13;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;FALSO
co1360403;04/02/2021 9:48;Comercial Bertoni y Vilches  Limitada;Camino a Melipilla;1846;13604;Padre Hurtado;13;Metropolitana de Santiago;24 horas;Copec;http://api.cne.cl/brands/logo5.jpg;http://api.cne.cl/brands/copec.svg;http://api.cne.cl/brands/copec-horizontal.svg;760;786;523;779;;;-3,35664E+13;-7,08111E+13;VERDADERO;FALSO;VERDADERO;FALSO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
pb1360402;04/02/2021 14:46;TRANSPORTE Y COMERCIALIZADORA SANTA ELENA LTDA / RUT: 77897130-5;CAMINO MELIPILLA;290;13604;Padre Hurtado;13;Metropolitana de Santiago;6:00 am  12:00 am;Sesa;http://api.cne.cl/brands/logo15.jpg;http://api.cne.cl/brands/sesa.svg;http://api.cne.cl/brands/sesa-horizontal.svg;760;787;521;779;;;-33557667;-70800359;FALSO;FALSO;FALSO;FALSO;VERDADERO;VERDADERO;VERDADERO;FALSO
sh1360402 ;04/02/2021 13:55;Combustibles Melipilla Ltda.;Camino San Alberto Hurtado;2895;13604;Padre Hurtado;13;Metropolitana de Santiago;24 horas;Del sol combustibles;http://api.cne.cl/brands/logo80.jpg;http://api.cne.cl/brands/del sol combustibles.svg;http://api.cne.cl/brands/del sol combustibles-horizontal.svg;767;792;531;785;;;-3,3571E+13;-7,08185E+13;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;FALSO
co1360501;04/02/2021 9:30;Henderson Macqueen Ltda // 76.196.767-3;Balmaceda;21;13605;Peñaflor;13;Metropolitana de Santiago;24 horas;Petrobras;http://api.cne.cl/brands/logo2.jpg;http://api.cne.cl/brands/petrobras.svg;http://api.cne.cl/brands/petrobras-horizontal.svg;757;772;543;765;;;-3,36031E+13;-7,08514E+13;VERDADERO;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;VERDADERO;FALSO
co1360502;04/02/2021 9:32;-Distribuidora y Comercializadora El Maiten Ltda;Vicuña Mackenna;3957;13605;Peñaflor;13;Metropolitana de Santiago;24 horas;Copec;http://api.cne.cl/brands/logo5.jpg;http://api.cne.cl/brands/copec.svg;http://api.cne.cl/brands/copec-horizontal.svg;759;774;544;768;;;-3,36108E+12;-7,09031E+13;FALSO;FALSO;FALSO;FALSO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
